OA,ts006_0001
E00188281,7272.7
E00188293,4564.4
E00188312,191.5
E00060635,4466.5
E00060638,3556.9
E00060639,4003.2
E00060640,2616.5
E00060643,2144
E00060644,4419.5
E00060645,2012.6
E00060648,6497.9
E00060649,5766.7
E00060650,6516.9
E00060632,5873.7
E00060634,7913.5
E00060636,5493.9
E00060647,3962
E00060852,3686.9
E00060860,2908.9
E00060861,3193.5
E00060862,1879.5
E00060863,2065.4
E00060864,3164.2
E00060848,4814.5
E00060849,476.6
E00060850,5493.7
E00060851,2575
E00060853,5008.3
E00060854,3414.4
E00060855,2575.6
E00060856,5048.7
E00060857,2973.6
E00060858,3660.6
E00060859,2689
E00060732,3854.7
E00060733,2373.5
E00060734,5565.5
E00060735,3761.8
E00060736,4545.5
E00060737,4164.4
E00060729,4259.3
E00060730,2297.6
E00060731,2986.2
E00060739,4857.1
E00060740,4200.3
E00060738,2545
E00060741,2187
E00060745,8679.2
E00060748,2309.4
E00060749,4365.5
E00060742,3885.1
E00060743,4329.9
E00060744,7103.7
E00060746,4957.1
E00060747,5833.3
E00060955,8174.2
E00060956,7523.6
E00060957,2852.9
E00060958,3819.7
E00060959,3381.9
E00060960,2551.7
E00060961,455.2
E00188195,5825.8
E00188319,263.1
E00188331,2697.9
E00060962,3338.2
E00188176,173.2
E00188190,2578.6
E00188249,2076.6
E00188258,4839.4
E00060670,5087.7
E00060674,1194.6
E00060675,3223.7
E00060676,2313.8
E00060696,2899.2
E00060690,1361.1
E00060691,3101.8
E00060694,2709.7
E00060697,1729.7
E00060698,5173.8
E00060673,1606
E00060679,2242.8
E00060681,5817.4
E00060685,4953.4
E00060671,2839.5
E00060677,2859
E00060678,4233.7
E00060682,3928.6
E00060684,3050.8
E00060680,249.6
E00060683,5230.5
E00060686,3545.9
E00060687,4049.3
E00060688,3258.6
E00060672,1964.8
E00060689,2591.9
E00060692,6099.6
E00060693,5310
E00060695,1403.1
E00060833,4111.7
E00060835,3609.9
E00060842,3136
E00060846,3716.5
E00060847,4352.8
E00060834,3333.3
E00060836,5666.7
E00060837,5531.1
E00060838,6367.6
E00060839,4519.2
E00060883,3939
E00060885,3172.6
E00060886,4857.6
E00060887,3410.6
E00060888,887.1
E00060880,4607.1
E00060889,3647.5
E00060890,3212.5
E00060893,2394.4
E00060895,4578
E00060881,3582.3
E00060882,2176.6
E00060891,4234.9
E00060894,4036.1
E00165819,2122.7
E00188196,1727.2
E00188286,58
E00188316,890.1
E00188194,1507.6
E00188200,558.9
E00188240,4979.4
E00188275,1222.3
E00188277,2442.2
E00060841,762.8
E00060843,4818
E00060844,6321.8
E00060845,5351.4
E00061021,6520.4
E00061034,8989.5
E00061035,1058.2
E00061036,2818.3
E00061037,9953.7
E00061039,3658.2
E00061022,3414.4
E00061024,4012.8
E00061025,3898.3
E00061028,5757
E00061038,3658.2
E00061023,10742.4
E00061026,16732
E00061027,2440.2
E00061029,7928.8
E00061030,8861.2
E00061031,11071.4
E00061032,13465.9
E00061033,14359
E00061445,6515.2
E00061447,3536.6
E00061458,6293.7
E00061459,3910
E00061460,7300
E00061040,5895.4
E00061041,5197.8
E00061042,7443.6
E00061055,4090.3
E00061062,1081.1
E00061239,1816.6
E00061242,6083.9
E00061243,5739.3
E00061244,6431.8
E00061245,6837
E00061247,2531.1
E00061233,8670.4
E00061234,9040
E00061235,5791.8
E00061236,8778.9
E00061246,8535.4
E00061232,2606
E00061237,5027.6
E00061238,5553.5
E00061240,5596.7
E00061241,5272.4
E00061043,5032.6
E00061044,6073.6
E00061047,7532.5
E00061054,6292.9
E00061063,2658.5
E00061045,5157.7
E00061046,9030.6
E00061048,7831.6
